Gene,log2FoldChange,baseMean,pvalue
ENSG00000078900,-0.765080024,102.9118069,0.000309795
ENSG00000105516,-0.753712867,204.2932604,0.000314784
ENSG00000089063,-0.502158607,2180.336264,0.000317019
ENSG00000160326,0.638395407,795.055107,0.000318391
ENSG00000130669,-0.402565804,1525.077767,0.000319151
ENSG00000128524,-0.6476097,454.7516312,0.000324672
ENSG00000196704,-0.452007566,1189.091099,0.000327805
ENSG00000076356,0.926743409,331.8856126,0.000331651
ENSG00000130255,-0.554718513,7348.91602,0.000332463
ENSG00000141576,-0.513002025,562.4177842,0.000342252
ENSG00000187514,-0.550142551,52453.61109,0.000348207
ENSG00000184009,-0.475580731,52143.7177,0.000349418
ENSG00000197283,0.538428727,4368.20461,0.000349737
ENSG00000143222,-0.466313428,1082.315404,0.000352808
ENSG00000064666,-0.444944974,6320.746037,0.000355879
ENSG00000125148,-0.858884892,574.7162309,0.00035988
ENSG00000148824,0.648606044,192.4881196,0.00036311
ENSG00000188227,0.446647937,613.2074628,0.000362778
ENSG00000215424,0.588116914,240.6557678,0.000369118
ENSG00000119782,-0.670163911,188.6833219,0.000367708
ENSG00000128596,0.471767144,1167.402848,0.000369837
ENSG00000197694,0.439832798,14076.8502,0.00036929
ENSG00000167658,-0.397680329,66270.68389,0.000368784
ENSG00000136960,0.930706774,428.1424286,0.000372131
ENSG00000197102,0.479132212,16199.0751,0.000371582
ENSG00000115275,0.465937422,2988.869359,0.000379511
ENSG00000099326,0.552994215,562.5388291,0.000378812
ENSG00000177868,-0.444038899,346.7726177,0.000378322
ENSG00000182899,-0.447923301,12108.88285,0.000380731
ENSG00000173706,0.539985274,772.4202242,0.00038468
ENSG00000103888,0.742708043,77.74579331,0.000392371
ENSG00000257270,0.619039087,124.2794204,0.00039575
ENSG00000132475,-0.453994501,12039.59841,0.000395812
ENSG00000185985,0.93209132,95.67661366,0.000396454
ENSG00000084623,-0.3915012,4699.928543,0.000395817
ENSG00000112893,0.514233551,5811.901346,0.000402536
ENSG00000126767,-0.410315475,850.634352,0.000402547
ENSG00000169218,0.931305287,77.97814326,0.000402783
ENSG00000111664,0.733219375,228.0479189,0.000408049
ENSG00000115128,-0.439896948,1570.072877,0.000410526
ENSG00000125691,-0.587973081,20106.33747,0.000413044
ENSG00000197746,0.388667316,27477.62731,0.000412347
ENSG00000212802,-0.556090917,188.6404645,0.00041501
ENSG00000171794,-0.812818885,100.9493927,0.000416436
ENSG00000272047,-0.559421508,676.5282556,0.000418906
ENSG00000181381,-0.863773324,79.0074277,0.000422975
ENSG00000121210,0.582087974,1785.058354,0.000423653
ENSG00000183506,0.608768063,629.018813,0.000425443
ENSG00000145495,0.367602904,6883.356144,0.000428741
ENSG00000169116,0.605168728,250.0259755,0.000431463
ENSG00000103064,0.571593793,478.7741665,0.000433346
ENSG00000082146,-0.492567191,954.2152013,0.000437144
ENSG00000131469,-0.486147221,14266.7806,0.000437197
ENSG00000204264,-0.765194395,356.8865357,0.00043644
ENSG00000135111,0.841343894,56.3961565,0.000440714
ENSG00000172660,-0.382442496,8510.273941,0.00043882
ENSG00000114770,0.463033742,2695.292097,0.000439659
ENSG00000181523,0.462609384,576.6748723,0.000442554
ENSG00000196976,-0.559420987,441.9249697,0.000448147
ENSG00000108298,-0.503365308,23533.72165,0.000450906
ENSG00000116030,-0.510520233,5046.374081,0.000450966
ENSG00000127914,0.520353596,2299.891734,0.000454695
ENSG00000106268,-0.523427647,855.1431003,0.000455419
ENSG00000227081,-0.87384074,45.19718149,0.000463076
ENSG00000100116,-0.600330222,516.8525272,0.000466667
ENSG00000142396,0.594388473,236.190836,0.000468825
ENSG00000164611,-0.546882377,2783.473006,0.000470307
ENSG00000255103,0.744900974,515.0321425,0.000471263
ENSG00000105968,-0.366862882,3362.847209,0.000473775
ENSG00000196159,0.796615639,527.7888948,0.000477053
ENSG00000140905,-0.539383773,1665.042175,0.000476675
ENSG00000198816,-0.621722769,347.339788,0.000480123
ENSG00000077549,-0.401846463,6289.898363,0.000483338
ENSG00000184903,-0.590228739,125.1284958,0.00048611
ENSG00000131094,-0.793572237,130.9475157,0.000490848
ENSG00000140450,-0.827277247,458.4942,0.000493404
ENSG00000227671,0.570309134,823.750002,0.000497135
ENSG00000160828,0.797446194,132.2034923,0.000512203
ENSG00000152580,0.692046869,74.11920549,0.000519215
ENSG00000204262,0.787455916,1492.699911,0.000534603
ENSG00000101210,-0.75030615,383.1967906,0.00053424
ENSG00000158055,-0.768395589,49.14281702,0.000529872
ENSG00000134569,0.725085008,1588.308614,0.00052971
ENSG00000166295,-0.514123637,1612.956842,0.000534334
ENSG00000056487,0.435870806,1083.425363,0.00053098
ENSG00000161996,0.505147412,1281.592461,0.000535179
ENSG00000166441,-0.556876084,23711.83896,0.000538817
ENSG00000225373,0.627004658,2151.929978,0.000554012
ENSG00000126458,-0.706188231,237.5402246,0.00055315
ENSG00000119986,-0.570805115,126.5908364,0.000559236
ENSG00000031081,0.69373899,148.8945551,0.000564597
ENSG00000255135,-0.61107766,369.8747114,0.000564479
ENSG00000179632,-0.343475465,1780.314212,0.000567479
ENSG00000184344,0.858251068,446.7695893,0.000569567
ENSG00000038219,0.401568966,3088.714759,0.000570577
ENSG00000008988,-0.606032079,19909.19486,0.000582861
ENSG00000102409,-0.660098467,1549.959476,0.00058403
ENSG00000091640,-0.463161192,1563.608773,0.00058225
ENSG00000103145,-0.693771844,854.2189951,0.000587505
ENSG00000160993,-0.436984021,318.6282654,0.000595469
ENSG00000170631,-0.536445237,273.703413,0.000594438
ENSG00000196230,-0.354689346,38926.40827,0.000593544
ENSG00000159352,-0.371714952,3420.807394,0.000594503
ENSG00000198121,0.671852108,134.7965787,0.000597887
ENSG00000128789,-0.503314743,1024.117753,0.00060164
ENSG00000138829,0.805848599,4823.076734,0.000606892
ENSG00000231360,-0.698954862,70.25781713,0.000613816
ENSG00000106603,-0.380961894,2335.902019,0.000616941
ENSG00000251637,0.798181918,46.76970458,0.000623668
ENSG00000166012,0.403864232,3625.438879,0.000631929
ENSG00000125743,-0.45249208,4989.268725,0.000636626
ENSG00000171603,0.299503016,7539.526434,0.000636751
ENSG00000164587,-0.467906716,18082.94194,0.000634529
ENSG00000163041,-0.538263994,9550.441686,0.000649187
ENSG00000165282,0.385405657,1217.255328,0.000651385
ENSG00000106244,-0.346012772,3710.48729,0.000655431
ENSG00000126247,-0.426190698,2694.632326,0.000654087
ENSG00000137038,-0.392870967,915.6167185,0.000657665
ENSG00000179262,-0.478648993,2029.943404,0.000658497
ENSG00000112699,-0.461444376,624.4434212,0.000668433
ENSG00000272143,-0.682935551,77.57980668,0.000668648
ENSG00000139641,0.533152569,5747.013707,0.00066896
ENSG00000100129,-0.407022406,10430.51244,0.000667791
ENSG00000124380,-0.45006364,407.4270962,0.000668283
ENSG00000158270,0.834961696,243.3513922,0.000665863
ENSG00000136146,-0.417783086,736.6300533,0.000675552
ENSG00000117632,-0.381287501,11759.16948,0.000679891
ENSG00000171425,-0.593582865,878.2919469,0.000680297
ENSG00000143499,0.546579736,251.9410488,0.000680256
ENSG00000099785,-0.628755431,290.101985,0.000679109
ENSG00000242071,-0.548495876,303.9213607,0.000687842
ENSG00000070831,-0.374579263,4988.697844,0.000687335
ENSG00000133142,-0.77919289,1897.396793,0.000688773
ENSG00000115267,-0.742770438,70.08582412,0.000686909
ENSG00000145912,-0.400915319,1025.980937,0.000686529
ENSG00000125878,-0.701101255,101.6963215,0.000684409
ENSG00000172301,-0.506467267,587.5245715,0.000692314
ENSG00000063245,-0.398193889,2963.403385,0.000696215
